Artist,Listeners,Daily Trend,Peak,PkListeners
Hollywood Undead,4605356,"-9,823",1941,"4,943,266"
DVBBS,4603419,"-20,277",1374,"6,240,761"
Arem Ozguc,4601565,"-6,785",1638,"5,496,761"
Arman Aydin,4601404,"-6,703",1639,"5,496,094"
Pooh Shiesty,4599956,"23,214",1883,"4,904,511"
Claptone,4594344,"-5,853",2118,"4,603,177"
Sam Tompkins,4593385,"4,464",1783,"5,537,551"
Super Yei,4591549,"16,064",2005,"5,059,685"
Pablo Chill-E,4590433,"11,172",1871,"4,865,064"
Anna Kendrick,4589796,"-1,434",1928,"4,744,993"
Grupo RevelaÃ§Ã£o,4589558,"39,751",2129,"4,589,558"
Mitchell Tenpenny,4589160,"-36,017",1988,"4,939,926"
Nico & Vinz,4585982,635,1655,"5,713,984"
Inspector,4579576,"8,089",2302,"4,579,576"
Ammy Virk,4579261,"13,936",1632,"5,896,835"
DÃ­melo Flow,4576034,"-9,234",1562,"5,516,943"
Ken Carson,4575485,"5,093",2156,"4,575,485"
RunâD.M.C.,4574150,"-20,754",2103,"4,742,872"
James Brown,4570470,"-11,790",2000,"4,827,748"
Warren Zeiders,4567972,"24,963",2322,"4,567,972"
DJ Ak beats,4567583,"15,935",1312,"6,359,873"
Liana Flores,4565636,"8,446",2017,"4,565,636"
Fabolous,4561211,"-1,395",1784,"5,476,866"
Monica,4561056,"-7,852",2124,"4,639,354"
Madcon,4560978,"13,850",1804,"5,453,974"
Alexis y Fido,4559585,"7,400",2048,"4,638,186"
Rick Springfield,4559276,"-2,555",2230,"4,587,649"
Emir Can Ä°Ärek,4558425,"-14,628",1773,"5,558,046"
A Great Big World,4557885,"-4,101",1945,"4,836,877"
Divya Kumar,4557653,"8,842",1374,"6,109,192"
Los Gemelos De Sinaloa,4557576,"30,960",1584,"5,550,154"
XG,4553184,"-35,578",1731,"5,428,551"
MC Davo,4553184,"31,429",1744,"5,111,019"
Tiziano Ferro,4552723,"-13,380",2247,"4,625,836"
Cheap Trick,4552646,"-5,393",1925,"5,065,809"
Daniel Hope,4552416,"-1,537",1855,"4,821,970"
Against The Current,4551725,"-21,250",2022,"4,988,854"
Mc Tato,4550957,"-9,015",1247,"6,597,357"
Geolier,4548122,-307,2081,"4,857,946"
Chani Nattan,4546364,"5,485",1464,"6,373,045"
Mani Sharma,4545830,"10,105",2343,"4,545,830"
Bryce Vine,4544533,"-23,361",1862,"5,080,579"
Dent May,4544304,"34,198",2345,"4,544,304"
Aleks Syntek,4543313,"12,491",2010,"4,543,313"
Luca-Dante Spadafora,4543161,"29,137",2347,"4,543,161"
Adie,4541183,"-11,079",1985,"4,821,374"
Ananya Bhat,4541031,"-3,578",1890,"5,181,804"
Ben Howard,4540575,"-1,749",2045,"4,844,361"
Pixote,4539057,"37,988",2351,"4,539,057"
Barbra Streisand,4536860,"-8,283",1956,"4,746,471"
Ludwig GÃ¶ransson,4535876,"4,979",2264,"4,621,889"
Mukesh,4534440,"14,921",2195,"4,646,052"
Niska,4533157,"10,581",1850,"4,982,351"
Major RD,4522650,"-62,856",1997,"5,116,399"
Amanda Seyfried,4521233,"-5,682",2014,"4,832,052"
Ranjith Govind,4521083,"12,452",2358,"4,521,083"
Tedua,4519147,670,2101,"4,801,605"
Luther Vandross,4518328,"11,022",2129,"4,588,523"
MERO,4516990,"1,781",1954,"4,642,530"
ZHU,4514320,"38,261",2175,"4,557,035"
jnhygs,4514098,"15,586",2363,"4,514,098"
Ray LaMontagne,4514024,"-7,731",2098,"4,531,499"
Poison,4511065,"18,520",2278,"4,514,172"
Four Tet,4510844,"-33,460",1632,"5,925,530"
JosÃ© Feliciano,4504880,294,1916,"4,753,427"
Wheatus,4504440,"23,010",2015,"4,511,583"
PnB Rock,4503706,"-2,055",1634,"5,350,593"
DYSTINCT,4503633,"-11,428",1994,"5,019,225"
Vegedream,4500192,"-6,452",1823,"4,898,402"
Nadson O Ferinha,4500192,"10,328",2339,"4,510,327"
Kanishk Seth,4496543,"6,969",2205,"4,636,769"
Vicentico,4495815,"-11,638",2150,"4,515,358"
LIZOT,4495015,"-15,238",1879,"4,874,944"
Peter Plate,4495015,"14,375",2376,"4,495,015"
Showtek,4494361,"7,749",2018,"4,926,998"
Blind Melon,4492763,"-11,530",2165,"4,543,085"
Mustafa Zahid,4489068,"72,166",2379,"4,489,068"
Dan Caplen,4488056,"-1,591",2143,"4,639,521"
fam0uz,4487261,"10,202",2313,"4,511,435"
Yovie Widianto,4482076,"-12,139",1822,"5,335,015"
Hypaton,4479350,"-17,849",2010,"4,830,949"
Dybbukk,4479278,"-12,034",1629,"5,438,489"
Carpenters,4477918,"6,705",1985,"4,605,437"
Disco Lines,4476702,"-15,988",2059,"4,894,882"
Ulf Leo Sommer,4475987,"15,174",2387,"4,475,987"
Staind,4474988,214,2078,"4,867,240"
Vicetone,4473206,"-7,076",2085,"4,694,092"
Ben&Ben,4472921,"-2,067",1859,"5,059,186"
Olivia O'Brien,4472778,"-3,281",1640,"5,363,511"
Shiraz Uppal,4471924,"7,161",1842,"5,292,492"
Julien Marchal,4471426,"-21,046",1664,"5,336,898"
RubÃ©n Blades,4469863,"-3,984",2145,"4,538,678"
Aloe Blacc,4465470,"-14,166",1806,"4,889,570"
Kapil Kapilan,4462433,"66,915",2396,"4,462,433"
Kontra K,4462010,"-19,348",2382,"4,481,358"
Ali Sethi,4461658,"-7,353",1572,"5,697,972"
Pouya,4454776,"-8,010",2129,"4,584,951"
Ayparia,4453028,"-70,295",1723,"5,782,673"
t.A.T.u.,4452888,"4,392",1884,"4,906,555"
Xanemusic,4451352,"1,952",779,"9,445,482"
Nina Chuba,4450864,-70,1538,"5,671,256"
Fran C,4449818,"-6,289",1961,"4,863,720"
Night Lovell,4448913,"-4,115",1945,"4,668,037"
Sophie and the Giants,4445924,"1,456",1778,"5,528,305"
ZÃ© Vaqueiro,4445716,"25,907",1582,"5,470,612"
Otto Knows,4442806,"9,164",2166,"4,699,382"
Ravi Basrur,4436115,"-8,561",1813,"4,969,465"
Lucas & Steve,4431792,"-17,887",1745,"5,293,950"
Harish Raghavendra,4430287,"6,000",2254,"4,501,874"
MÅnia,4429740,"10,811",2321,"4,429,740"
Blue Swede,4428442,"-14,433",1922,"5,080,070"
Gorgon City,4427623,"-8,973",2171,"4,688,042"
SXMPRA,4426124,-681,1901,"5,108,927"
Hamza,4425579,"-15,844",1647,"5,520,810"
Ikka,4425307,"3,736",1667,"5,328,895"
Srinivas,4420012,"-1,898",2402,"4,421,910"
MÃ½a,4418997,"-12,521",2066,"4,959,677"
Take That,4418862,"-3,998",1952,"5,001,981"
Toni Braxton,4418862,"5,667",2024,"4,794,806"
Rich Music LTD,4418118,"-5,829",2034,"4,668,037"
Madan Mohan,4417780,"6,802",2423,"4,417,780"
